Network,Long Name,Code,Type,Motion,Cable Type,Cable length,Easting,Northing,Elev,Cmp01,x1,y1,z1,Cmp02,x2,y2,z2,Cmp03,x3,y3,z3
OT,SU12_5,46,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,1035,651751.2822,4766513.264,241.5199732,x,-0.866387,-0.272971,0.418163,y,0.295544,-0.955263,-0.011249,z,0.402527,0.113839,0.908302
OT,SU12_6,47,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,1155,651701.9813,4766500.009,132.9224599,x,0.553593,0.756317,-0.348597,y,-0.720944,0.64477,0.253992,z,0.416863,0.110711,0.902202
OT,SU13_1,48,Avalon_14HZ_HG6_Geophone_0,velocity,Avalon_0,265,651414.1597,4766543.732,958.2435043,x,-0.991241,-0.100238,-0.085989,y,0.117961,-0.964773,-0.235155,z,-0.059389,-0.243239,0.968147
OT,SU13_2,49,Avalon_14HZ_HG6_Geophone_1,velocity,Avalon_0,485,651428.4675,4766598.578,745.6755725,x,0.928821,-0.369531,-0.027164,y,0.363126,0.893236,0.265085,z,-0.073693,-0.25608,0.963842
OT,SU13_3,50,Avalon_14HZ_HG6_Geophone_1,velocity,Avalon_0,635,651440.2123,4766637.699,601.3495453,x,-0.040664,0.962378,0.268652,y,-0.994672,-0.013498,-0.102203,z,-0.094732,-0.271377,0.9578
OT,SU13_4,51,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,775,651454.96,4766676.845,467.7492044,x,-0.413849,0.883624,0.218944,y,-0.903374,-0.368917,-0.218669,z,-0.112449,-0.288284,0.950919
OT,SU13_5,52,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,975,651479.3052,4766736.706,278.4847495,x,0.95373,0.221574,0.203233,y,-0.272357,0.923005,0.271815,z,-0.127358,-0.314591,0.940645
OT,SU13_6,53,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,1175,651503.7024,4766799.017,90.01451285,x,-0.979654,0.191891,-0.058791,y,-0.162493,-0.93031,-0.328814,z,-0.11779,-0.312571,0.942563
OT,SU04_1,54,Avalon_14HZ_HG6_Geophone_0,velocity,Avalon_0,295,651304.5688,4767188.076,922.9853859,x,-0.693853,-0.720036,0.01081,y,0.720051,-0.693914,-0.003122,z,0.009749,0.005617,0.999937
OT,SU04_2,55,Avalon_14HZ_HG6_Geophone_1,velocity,Avalon_0,545,651301.7161,4767186.116,673.0103277,x,-0.888941,0.457939,-0.008685,y,0.457797,0.888939,0.01443,z,0.014295,0.008919,0.999858
OT,SU04_3,56,Avalon_14HZ_HG6_Geophone_1,velocity,Avalon_0,675,651299.6925,4767184.85,543.0323769,x,-0.072973,0.997292,-0.009127,y,-0.997207,-0.072814,0.016652,z,0.015942,0.010317,0.99982
OT,SU04_4,57,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,805,651297.6829,4767183.639,413.0538831,x,0.692377,-0.721529,-0.003149,y,0.721333,0.692278,-0.020724,z,0.017133,0.012078,0.99978
OT,SU04_5,58,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,935,651296.2322,4767182.431,283.0681067,x,0.467886,-0.883786,0.002314,y,0.883732,0.467825,-0.012583,z,0.010038,0.007932,0.999918
OT,SU04_6,59,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,1075,651294.5787,4767181.211,148.0840191,x,-0.98764,0.155943,0.015784,y,-0.155762,-0.98772,0.012155,z,0.017486,0.009546,0.999802
OT,SU07_1,60,Avalon_14HZ_HG6_Geophone_0,velocity,Avalon_0,185,652108.2846,4767251.497,1012.893774,x,-0.149709,-0.988079,0.035888,y,0.953925,-0.153889,-0.257577,z,0.260029,-0.004328,0.965591
OT,SU07_2,61,Avalon_14HZ_HG6_Geophone_1,velocity,Avalon_0,325,652071.0799,4767252.172,877.9306596,x,0.750606,0.627556,-0.206794,y,-0.60201,0.778523,0.177444,z,0.272351,-0.008699,0.962159
OT,SU07_3,62,Avalon_14HZ_HG6_Geophone_1,velocity,Avalon_0,475,652029.7675,4767252.957,733.7348376,x,-0.569585,-0.806016,0.160971,y,0.773687,-0.591879,-0.226026,z,0.277456,-0.0042,0.960729
OT,SU07_4,63,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,625,651986.7961,4767254.395,590.0328033,x,-0.938627,0.180141,0.294157,y,-0.176357,-0.983531,0.039573,z,0.296441,-0.014732,0.954937
OT,SU07_5,64,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,725,651956.9904,4767255.829,494.5888449,x,-0.381394,-0.918172,0.107235,y,0.874755,-0.395979,-0.279294,z,0.298902,-0.012716,0.954199
OT,SU07_6,65,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,825,651929.0421,4767256.151,398.5801234,x,0.815704,0.529492,-0.232946,y,-0.510351,0.848306,0.141131,z,0.272337,0.003764,0.962194
OT,SU01_1,66,Avalon_14HZ_HG6_Geophone_0,velocity,Avalon_0,195,651840.1397,4767872.752,1030.330206,x,-0.117817,0.993033,0.002191,y,-0.993017,-0.117801,-0.006379,z,-0.006077,-0.002928,0.999977
OT,SU01_2,67,Avalon_14HZ_HG6_Geophone_1,velocity,Avalon_0,335,651840.922,4767873.153,890.3330085,x,-0.247001,-0.969006,-0.004247,y,0.969002,-0.247018,0.004082,z,-0.005005,-0.003107,0.999983
OT,SU01_3,68,Avalon_14HZ_HG6_Geophone_1,velocity,Avalon_0,515,651841.878,4767873.533,710.3361055,x,-0.890423,-0.455105,-0.005082,y,0.455103,-0.890437,0.001641,z,-0.005272,-0.000851,0.999986
OT,SU01_4,69,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,695,651842.8878,4767873.623,530.3390071,x,0.957194,0.289384,0.006074,y,-0.289387,0.957212,-0.000448,z,-0.005944,-0.001328,0.999981
OT,SU01_5,70,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,845,651843.7477,4767873.853,380.3416756,x,-0.778108,-0.628112,-0.004798,y,0.628111,-0.778122,0.001769,z,-0.004844,-0.001638,0.999987
OT,SU01_6,71,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,1005,651844.4044,4767874.531,220.3446987,x,0.646806,-0.762651,-0.002344,y,0.762639,0.646769,0.008514,z,-0.004977,-0.007295,0.999961
OT,SU11_1,72,Avalon_14HZ_HG6_Geophone_0,velocity,Avalon_0,215,652068.4645,4766928.437,1000.907665,x,0.956183,0.291887,0.022727,y,-0.291878,0.944332,0.151805,z,0.022848,-0.151787,0.988149
